Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 39400 | 9.34e-05 1.16e-04 |  2.3233e+00  2.3290e+00 1.01e-03 | 909.6 | 1.7e+00 |
 39500 | 1.41e-04 7.74e-05 |  2.3232e+00  2.3291e+00 1.04e-03 | 911.8 | 1.7e+00 |
 39600 | 1.43e-04 5.42e-05 |  2.3232e+00  2.3292e+00 1.07e-03 | 913.9 | 1.0e+00 |
 39700 | 1.21e-04 1.15e-04 |  2.3232e+00  2.3293e+00 1.07e-03 | 916.1 | 6.0e-01 |
 39800 | 9.19e-05 1.83e-04 |  2.3232e+00  2.3291e+00 1.05e-03 | 918.3 | 6.0e-01 |
 39900 | 7.36e-05 1.74e-04 |  2.3232e+00  2.3289e+00 9.93e-04 | 920.5 | 1.0e+00 |
 40000 | 9.90e-05 1.24e-04 |  2.3233e+00  2.3286e+00 9.28e-04 | 922.6 | 1.7e+00 |
 40100 | 1.38e-04 8.01e-05 |  2.3234e+00  2.3286e+00 9.14e-04 | 924.8 | 1.7e+00 |
 40200 | 1.28e-04 4.90e-05 |  2.3234e+00  2.3285e+00 9.00e-04 | 927.0 | 1.0e+00 |
 40300 | 1.08e-04 7.66e-05 |  2.3234e+00  2.3285e+00 8.91e-04 | 929.2 | 6.0e-01 |
 40400 | 8.67e-05 1.29e-04 |  2.3234e+00  2.3284e+00 8.90e-04 | 931.3 | 4.6e-01 |
 40500 | 6.51e-05 1.47e-04 |  2.3233e+00  2.3286e+00 9.35e-04 | 933.5 | 7.7e-01 |
 40600 | 6.11e-05 1.35e-04 |  2.3232e+00  2.3288e+00 9.78e-04 | 935.7 | 1.3e+00 |
 40700 | 1.10e-04 1.04e-04 |  2.3232e+00  2.3289e+00 1.00e-03 | 937.9 | 2.1e+00 |
 40800 | 1.48e-04 6.55e-05 |  2.3231e+00  2.3290e+00 1.04e-03 | 940.0 | 1.7e+00 |
 40900 | 1.49e-04 5.22e-05 |  2.3231e+00  2.3290e+00 1.05e-03 | 942.2 | 1.3e+00 |
 41000 | 1.26e-04 8.14e-05 |  2.3231e+00  2.3289e+00 1.02e-03 | 944.4 | 1.0e+00 |
 41100 | 9.74e-05 1.17e-04 |  2.3232e+00  2.3290e+00 1.03e-03 | 946.6 | 7.7e-01 |
 41200 | 7.29e-05 1.18e-04 |  2.3232e+00  2.3287e+00 9.65e-04 | 948.7 | 1.3e+00 |
 41300 | 8.65e-05 9.06e-05 |  2.3233e+00  2.3285e+00 9.25e-04 | 950.9 | 2.1e+00 |
 41400 | 1.18e-04 6.25e-05 |  2.3234e+00  2.3285e+00 9.06e-04 | 953.1 | 2.1e+00 |
 41500 | 1.09e-04 4.51e-05 |  2.3234e+00  2.3285e+00 8.91e-04 | 955.3 | 1.3e+00 |
 41600 | 9.07e-05 6.01e-05 |  2.3234e+00  2.3284e+00 8.77e-04 | 957.4 | 7.7e-01 |
 41700 | 7.33e-05 9.95e-05 |  2.3234e+00  2.3282e+00 8.49e-04 | 959.6 | 4.6e-01 |
 41800 | 5.68e-05 1.16e-04 |  2.3234e+00  2.3284e+00 8.86e-04 | 961.8 | 7.7e-01 |
 41900 | 5.67e-05 1.07e-04 |  2.3233e+00  2.3285e+00 9.18e-04 | 964.0 | 1.3e+00 |
 42000 | 9.57e-05 8.31e-05 |  2.3233e+00  2.3286e+00 9.43e-04 | 966.2 | 2.1e+00 |
 42100 | 1.36e-04 5.67e-05 |  2.3232e+00  2.3287e+00 9.74e-04 | 968.3 | 2.1e+00 |
 42200 | 1.32e-04 5.11e-05 |  2.3232e+00  2.3289e+00 1.01e-03 | 970.5 | 1.3e+00 |
 42300 | 1.08e-04 9.59e-05 |  2.3232e+00  2.3290e+00 1.03e-03 | 972.7 | 7.7e-01 |
 42400 | 8.01e-05 1.42e-04 |  2.3232e+00  2.3290e+00 1.02e-03 | 974.9 | 7.7e-01 |
 42500 | 7.01e-05 1.11e-04 |  2.3233e+00  2.3284e+00 8.98e-04 | 977.0 | 1.3e+00 |
 42600 | 8.92e-05 8.77e-05 |  2.3234e+00  2.3284e+00 8.89e-04 | 979.2 | 2.1e+00 |
 42700 | 1.24e-04 5.93e-05 |  2.3235e+00  2.3284e+00 8.58e-04 | 981.4 | 2.1e+00 |
 42800 | 1.16e-04 4.36e-05 |  2.3235e+00  2.3283e+00 8.32e-04 | 983.6 | 1.3e+00 |
 42900 | 9.64e-05 6.51e-05 |  2.3235e+00  2.3281e+00 8.05e-04 | 985.7 | 7.7e-01 |
 43000 | 7.78e-05 1.07e-04 |  2.3235e+00  2.3280e+00 7.97e-04 | 987.9 | 4.6e-01 |
 43100 | 6.07e-05 1.22e-04 |  2.3234e+00  2.3282e+00 8.42e-04 | 990.1 | 7.7e-01 |
 43200 | 5.68e-05 1.13e-04 |  2.3233e+00  2.3283e+00 8.88e-04 | 992.3 | 1.3e+00 |
 43300 | 9.30e-05 8.87e-05 |  2.3232e+00  2.3284e+00 9.21e-04 | 994.4 | 2.1e+00 |
 43400 | 1.36e-04 5.98e-05 |  2.3231e+00  2.3286e+00 9.58e-04 | 996.6 | 2.1e+00 |
 43500 | 1.36e-04 4.50e-05 |  2.3231e+00  2.3287e+00 9.91e-04 | 998.8 | 1.3e+00 |
 43600 | 1.15e-04 8.63e-05 |  2.3232e+00  2.3289e+00 1.00e-03 | 1001.0 | 7.7e-01 |
 43700 | 8.82e-05 1.53e-04 |  2.3232e+00  2.3290e+00 1.01e-03 | 1003.1 | 4.6e-01 |
 43800 | 7.15e-05 1.69e-04 |  2.3233e+00  2.3286e+00 9.27e-04 | 1005.3 | 7.7e-01 |
 43900 | 7.64e-05 1.39e-04 |  2.3234e+00  2.3282e+00 8.51e-04 | 1007.5 | 1.3e+00 |
 44000 | 1.32e-04 9.84e-05 |  2.3236e+00  2.3282e+00 8.12e-04 | 1009.6 | 2.1e+00 |
 44100 | 1.42e-04 5.46e-05 |  2.3236e+00  2.3280e+00 7.74e-04 | 1011.8 | 1.3e+00 |
 44200 | 1.23e-04 5.79e-05 |  2.3236e+00  2.3278e+00 7.29e-04 | 1014.0 | 7.7e-01 |
 44300 | 9.79e-05 1.19e-04 |  2.3236e+00  2.3274e+00 6.85e-04 | 1016.1 | 4.6e-01 |
 44400 | 7.20e-05 1.46e-04 |  2.3235e+00  2.3277e+00 7.47e-04 | 1018.3 | 7.7e-01 |
 44500 | 6.09e-05 1.37e-04 |  2.3234e+00  2.3280e+00 8.21e-04 | 1020.5 | 1.3e+00 |
 44600 | 1.08e-04 1.07e-04 |  2.3233e+00  2.3282e+00 8.75e-04 | 1022.6 | 2.1e+00 |
 44700 | 1.63e-04 6.86e-05 |  2.3231e+00  2.3285e+00 9.40e-04 | 1024.8 | 2.1e+00 |
 44800 | 1.61e-04 5.04e-05 |  2.3231e+00  2.3288e+00 1.00e-03 | 1027.0 | 1.3e+00 |
 44900 | 1.32e-04 1.05e-04 |  2.3232e+00  2.3289e+00 1.01e-03 | 1029.2 | 7.7e-01 |
 45000 | 9.72e-05 1.73e-04 |  2.3232e+00  2.3290e+00 1.02e-03 | 1031.3 | 6.0e-01 |
 45100 | 6.96e-05 1.74e-04 |  2.3233e+00  2.3284e+00 9.07e-04 | 1033.5 | 1.0e+00 |
 45200 | 9.81e-05 1.32e-04 |  2.3235e+00  2.3281e+00 8.25e-04 | 1035.7 | 1.7e+00 |
 45300 | 1.45e-04 8.48e-05 |  2.3236e+00  2.3280e+00 7.78e-04 | 1037.8 | 1.7e+00 |
 45400 | 1.35e-04 4.73e-05 |  2.3237e+00  2.3278e+00 7.27e-04 | 1040.0 | 1.0e+00 |
 45500 | 1.08e-04 8.31e-05 |  2.3236e+00  2.3274e+00 6.70e-04 | 1042.2 | 6.0e-01 |
 45600 | 8.26e-05 1.34e-04 |  2.3235e+00  2.3273e+00 6.61e-04 | 1044.3 | 6.0e-01 |
 45700 | 6.11e-05 1.40e-04 |  2.3234e+00  2.3277e+00 7.52e-04 | 1046.5 | 1.0e+00 |
 45800 | 7.69e-05 1.19e-04 |  2.3233e+00  2.3279e+00 8.18e-04 | 1048.7 | 1.7e+00 |
 45900 | 1.42e-04 8.55e-05 |  2.3231e+00  2.3281e+00 8.79e-04 | 1050.8 | 2.8e+00 |
 46000 | 1.62e-04 4.94e-05 |  2.3231e+00  2.3285e+00 9.58e-04 | 1053.0 | 1.7e+00 |
 46100 | 1.44e-04 6.77e-05 |  2.3231e+00  2.3288e+00 1.01e-03 | 1055.2 | 1.0e+00 |
 46200 | 1.10e-04 1.39e-04 |  2.3231e+00  2.3290e+00 1.04e-03 | 1057.4 | 6.0e-01 |
 46300 | 7.37e-05 1.63e-04 |  2.3233e+00  2.3287e+00 9.56e-04 | 1059.5 | 1.0e+00 |
 46400 | 8.63e-05 1.28e-04 |  2.3234e+00  2.3282e+00 8.36e-04 | 1061.7 | 1.7e+00 |
 46500 | 1.42e-04 8.72e-05 |  2.3236e+00  2.3280e+00 7.74e-04 | 1063.9 | 2.1e+00 |
 46600 | 1.40e-04 4.86e-05 |  2.3237e+00  2.3277e+00 7.14e-04 | 1066.1 | 1.3e+00 |
 46700 | 1.13e-04 6.64e-05 |  2.3237e+00  2.3273e+00 6.52e-04 | 1068.2 | 7.7e-01 |
 46800 | 8.55e-05 1.25e-04 |  2.3236e+00  2.3269e+00 5.87e-04 | 1070.4 | 4.6e-01 |
 46900 | 6.21e-05 1.45e-04 |  2.3235e+00  2.3272e+00 6.60e-04 | 1072.5 | 7.7e-01 |
 47000 | 6.28e-05 1.32e-04 |  2.3234e+00  2.3276e+00 7.45e-04 | 1074.7 | 1.3e+00 |
 47100 | 1.15e-04 1.00e-04 |  2.3232e+00  2.3278e+00 8.08e-04 | 1076.9 | 2.1e+00 |
 47200 | 1.67e-04 6.22e-05 |  2.3231e+00  2.3281e+00 8.89e-04 | 1079.1 | 2.1e+00 |
 47300 | 1.60e-04 5.03e-05 |  2.3231e+00  2.3286e+00 9.78e-04 | 1081.2 | 1.3e+00 |
 47400 | 1.28e-04 1.11e-04 |  2.3231e+00  2.3290e+00 1.04e-03 | 1083.4 | 7.7e-01 |
 47500 | 8.81e-05 1.69e-04 |  2.3232e+00  2.3289e+00 1.01e-03 | 1085.6 | 7.7e-01 |
 47600 | 7.18e-05 1.57e-04 |  2.3234e+00  2.3284e+00 8.91e-04 | 1087.7 | 1.3e+00 |
 47700 | 1.25e-04 1.10e-04 |  2.3236e+00  2.3280e+00 7.80e-04 | 1089.9 | 2.1e+00 |
 47800 | 1.75e-04 6.54e-05 |  2.3238e+00  2.3278e+00 7.05e-04 | 1092.1 | 2.1e+00 |
 47900 | 1.57e-04 4.62e-05 |  2.3238e+00  2.3274e+00 6.38e-04 | 1094.3 | 1.3e+00 |
 48000 | 1.20e-04 9.27e-05 |  2.3238e+00  2.3269e+00 5.63e-04 | 1096.4 | 7.7e-01 |
 48100 | 8.62e-05 1.46e-04 |  2.3236e+00  2.3267e+00 5.45e-04 | 1098.6 | 6.0e-01 |
 48200 | 6.26e-05 1.53e-04 |  2.3235e+00  2.3271e+00 6.46e-04 | 1100.8 | 1.0e+00 |
 48300 | 8.48e-05 1.29e-04 |  2.3233e+00  2.3275e+00 7.37e-04 | 1102.9 | 1.7e+00 |
 48400 | 1.57e-04 9.11e-05 |  2.3231e+00  2.3277e+00 8.18e-04 | 1105.1 | 2.8e+00 |
 48500 | 1.77e-04 5.03e-05 |  2.3230e+00  2.3282e+00 9.29e-04 | 1107.3 | 1.7e+00 |
 48600 | 1.53e-04 7.34e-05 |  2.3230e+00  2.3287e+00 1.01e-03 | 1109.4 | 1.0e+00 |
 48700 | 1.14e-04 1.52e-04 |  2.3231e+00  2.3291e+00 1.05e-03 | 1111.6 | 6.0e-01 |
 48800 | 7.37e-05 1.74e-04 |  2.3233e+00  2.3286e+00 9.31e-04 | 1113.8 | 1.0e+00 |
 48900 | 9.99e-05 1.44e-04 |  2.3235e+00  2.3281e+00 8.12e-04 | 1115.9 | 1.7e+00 |
 49000 | 1.68e-04 9.25e-05 |  2.3238e+00  2.3278e+00 7.09e-04 | 1118.1 | 2.1e+00 |
 49100 | 1.61e-04 4.85e-05 |  2.3239e+00  2.3274e+00 6.25e-04 | 1120.3 | 1.3e+00 |
 49200 | 1.25e-04 8.10e-05 |  2.3238e+00  2.3268e+00 5.21e-04 | 1122.4 | 7.7e-01 |
 49300 | 8.79e-05 1.39e-04 |  2.3237e+00  2.3263e+00 4.65e-04 | 1124.6 | 6.0e-01 |
 49400 | 6.11e-05 1.49e-04 |  2.3236e+00  2.3267e+00 5.61e-04 | 1126.8 | 1.0e+00 |
 49500 | 8.41e-05 1.27e-04 |  2.3234e+00  2.3272e+00 6.65e-04 | 1128.9 | 1.7e+00 |
 49600 | 1.35e-04 8.62e-05 |  2.3232e+00  2.3275e+00 7.63e-04 | 1131.1 | 1.7e+00 |
 49700 | 1.32e-04 5.12e-05 |  2.3232e+00  2.3283e+00 9.12e-04 | 1133.3 | 1.0e+00 |
 49800 | 1.03e-04 1.02e-04 |  2.3232e+00  2.3290e+00 1.03e-03 | 1135.4 | 6.0e-01 |
 49900 | 7.09e-05 1.62e-04 |  2.3233e+00  2.3292e+00 1.04e-03 | 1137.6 | 6.0e-01 |
 50000 | 6.11e-05 1.53e-04 |  2.3234e+00  2.3285e+00 9.07e-04 | 1139.8 | 1.0e+00 |
 50100 | 1.02e-04 1.10e-04 |  2.3236e+00  2.3281e+00 7.91e-04 | 1141.9 | 1.7e+00 |
 50200 | 1.41e-04 6.74e-05 |  2.3237e+00  2.3278e+00 7.10e-04 | 1144.1 | 1.7e+00 |
 50300 | 1.24e-04 4.72e-05 |  2.3238e+00  2.3272e+00 6.09e-04 | 1146.2 | 1.0e+00 |
 50400 | 9.30e-05 9.33e-05 |  2.3237e+00  2.3265e+00 5.00e-04 | 1148.4 | 6.0e-01 |
 50500 | 6.59e-05 1.38e-04 |  2.3236e+00  2.3263e+00 4.74e-04 | 1150.6 | 6.0e-01 |
 50600 | 5.40e-05 1.36e-04 |  2.3235e+00  2.3268e+00 5.82e-04 | 1152.7 | 1.0e+00 |
 50700 | 8.74e-05 1.11e-04 |  2.3233e+00  2.3271e+00 6.65e-04 | 1154.9 | 1.7e+00 |
 50800 | 1.32e-04 7.23e-05 |  2.3232e+00  2.3275e+00 7.59e-04 | 1157.0 | 1.7e+00 |
 50900 | 1.26e-04 4.67e-05 |  2.3231e+00  2.3282e+00 8.94e-04 | 1159.2 | 1.0e+00 |
 51000 | 9.70e-05 1.03e-04 |  2.3232e+00  2.3289e+00 1.01e-03 | 1161.4 | 6.0e-01 |
 51100 | 6.54e-05 1.60e-04 |  2.3233e+00  2.3290e+00 1.02e-03 | 1163.6 | 6.0e-01 |
 51200 | 6.09e-05 1.50e-04 |  2.3234e+00  2.3284e+00 8.89e-04 | 1165.7 | 1.0e+00 |
 51300 | 1.05e-04 1.08e-04 |  2.3236e+00  2.3279e+00 7.72e-04 | 1167.9 | 1.7e+00 |
 51400 | 1.42e-04 6.46e-05 |  2.3237e+00  2.3277e+00 6.92e-04 | 1170.1 | 1.7e+00 |
 51500 | 1.25e-04 4.63e-05 |  2.3238e+00  2.3271e+00 5.84e-04 | 1172.2 | 1.0e+00 |
 51600 | 9.32e-05 9.55e-05 |  2.3237e+00  2.3264e+00 4.71e-04 | 1174.4 | 6.0e-01 |
 51700 | 6.45e-05 1.42e-04 |  2.3236e+00  2.3261e+00 4.34e-04 | 1176.6 | 6.0e-01 |
 51800 | 5.25e-05 1.41e-04 |  2.3235e+00  2.3266e+00 5.42e-04 | 1178.7 | 1.0e+00 |
 51900 | 9.05e-05 1.14e-04 |  2.3234e+00  2.3269e+00 6.31e-04 | 1180.9 | 1.7e+00 |
 52000 | 1.39e-04 7.31e-05 |  2.3232e+00  2.3273e+00 7.29e-04 | 1183.1 | 1.7e+00 |
 52100 | 1.32e-04 4.75e-05 |  2.3232e+00  2.3281e+00 8.78e-04 | 1185.2 | 1.0e+00 |
 52200 | 1.01e-04 1.12e-04 |  2.3232e+00  2.3288e+00 9.90e-04 | 1187.4 | 6.0e-01 |
 52300 | 6.61e-05 1.73e-04 |  2.3233e+00  2.3291e+00 1.02e-03 | 1189.6 | 6.0e-01 |
 52400 | 6.03e-05 1.60e-04 |  2.3234e+00  2.3284e+00 8.79e-04 | 1191.7 | 1.0e+00 |
 52500 | 1.10e-04 1.11e-04 |  2.3236e+00  2.3279e+00 7.58e-04 | 1193.9 | 1.7e+00 |
 52600 | 1.49e-04 6.45e-05 |  2.3238e+00  2.3276e+00 6.72e-04 | 1196.1 | 1.7e+00 |
 52700 | 1.29e-04 4.68e-05 |  2.3238e+00  2.3270e+00 5.65e-04 | 1198.2 | 1.0e+00 |
 52800 | 9.54e-05 9.91e-05 |  2.3237e+00  2.3262e+00 4.35e-04 | 1200.4 | 6.0e-01 |
 52900 | 6.56e-05 1.46e-04 |  2.3236e+00  2.3260e+00 4.15e-04 | 1202.6 | 6.0e-01 |
 53000 | 5.37e-05 1.44e-04 |  2.3235e+00  2.3264e+00 5.21e-04 | 1204.8 | 1.0e+00 |
 53100 | 9.10e-05 1.16e-04 |  2.3233e+00  2.3268e+00 6.11e-04 | 1206.9 | 1.7e+00 |
 53200 | 1.49e-04 7.75e-05 |  2.3232e+00  2.3272e+00 7.05e-04 | 1209.1 | 2.1e+00 |
 53300 | 1.52e-04 4.35e-05 |  2.3231e+00  2.3279e+00 8.43e-04 | 1211.3 | 1.3e+00 |
 53400 | 1.21e-04 9.38e-05 |  2.3232e+00  2.3286e+00 9.63e-04 | 1213.4 | 7.7e-01 |
 53500 | 8.03e-05 1.54e-04 |  2.3233e+00  2.3288e+00 9.71e-04 | 1215.6 | 7.7e-01 |
 53600 | 6.58e-05 1.46e-04 |  2.3235e+00  2.3282e+00 8.43e-04 | 1217.8 | 1.3e+00 |
 53700 | 1.30e-04 1.04e-04 |  2.3237e+00  2.3278e+00 7.30e-04 | 1220.0 | 2.1e+00 |
 53800 | 1.40e-04 5.28e-05 |  2.3238e+00  2.3273e+00 6.29e-04 | 1222.1 | 1.3e+00 |
 53900 | 1.08e-04 6.20e-05 |  2.3238e+00  2.3266e+00 4.97e-04 | 1224.3 | 7.7e-01 |
 54000 | 7.49e-05 1.19e-04 |  2.3237e+00  2.3259e+00 3.93e-04 | 1226.5 | 4.6e-01 |
 54100 | 5.13e-05 1.37e-04 |  2.3236e+00  2.3261e+00 4.43e-04 | 1228.6 | 7.7e-01 |
 54200 | 6.14e-05 1.21e-04 |  2.3235e+00  2.3265e+00 5.38e-04 | 1230.8 | 1.3e+00 |
 54300 | 1.17e-04 8.91e-05 |  2.3234e+00  2.3268e+00 6.14e-04 | 1233.0 | 2.1e+00 |
 54400 | 1.31e-04 4.81e-05 |  2.3233e+00  2.3274e+00 7.40e-04 | 1235.2 | 1.3e+00 |
 54500 | 1.10e-04 6.90e-05 |  2.3233e+00  2.3283e+00 8.83e-04 | 1237.3 | 7.7e-01 |
 54600 | 7.63e-05 1.33e-04 |  2.3233e+00  2.3287e+00 9.56e-04 | 1239.5 | 6.0e-01 |
 54700 | 6.98e-05 1.38e-04 |  2.3234e+00  2.3283e+00 8.69e-04 | 1241.7 | 1.0e+00 |
 54800 | 8.75e-05 1.03e-04 |  2.3236e+00  2.3279e+00 7.56e-04 | 1243.8 | 1.7e+00 |
 54900 | 1.28e-04 6.39e-05 |  2.3237e+00  2.3275e+00 6.77e-04 | 1246.0 | 1.7e+00 |
 55000 | 1.10e-04 4.28e-05 |  2.3238e+00  2.3270e+00 5.79e-04 | 1248.2 | 1.0e+00 |
 55100 | 8.12e-05 8.22e-05 |  2.3237e+00  2.3264e+00 4.77e-04 | 1250.3 | 6.0e-01 |
 55200 | 5.71e-05 1.21e-04 |  2.3236e+00  2.3261e+00 4.31e-04 | 1252.5 | 6.0e-01 |
 55300 | 4.79e-05 1.18e-04 |  2.3235e+00  2.3264e+00 5.12e-04 | 1254.7 | 1.0e+00 |
 55400 | 7.87e-05 9.57e-05 |  2.3234e+00  2.3267e+00 5.87e-04 | 1256.8 | 1.7e+00 |
 55500 | 1.18e-04 6.24e-05 |  2.3233e+00  2.3271e+00 6.64e-04 | 1259.0 | 1.7e+00 |
 55600 | 1.11e-04 4.24e-05 |  2.3233e+00  2.3277e+00 7.86e-04 | 1261.2 | 1.0e+00 |
 55700 | 8.49e-05 9.28e-05 |  2.3233e+00  2.3284e+00 9.00e-04 | 1263.3 | 6.0e-01 |
 55800 | 5.70e-05 1.43e-04 |  2.3234e+00  2.3286e+00 9.24e-04 | 1265.5 | 6.0e-01 |
 55900 | 5.33e-05 1.33e-04 |  2.3235e+00  2.3281e+00 8.14e-04 | 1267.7 | 1.0e+00 |
 56000 | 9.52e-05 9.54e-05 |  2.3236e+00  2.3277e+00 7.21e-04 | 1269.9 | 1.7e+00 |
 56100 | 1.28e-04 5.75e-05 |  2.3237e+00  2.3274e+00 6.50e-04 | 1272.0 | 1.7e+00 |
 56200 | 1.13e-04 4.23e-05 |  2.3238e+00  2.3269e+00 5.46e-04 | 1274.2 | 1.0e+00 |
 56300 | 8.43e-05 8.78e-05 |  2.3237e+00  2.3262e+00 4.36e-04 | 1276.4 | 6.0e-01 |
 56400 | 5.82e-05 1.31e-04 |  2.3237e+00  2.3259e+00 3.94e-04 | 1278.5 | 6.0e-01 |
 56500 | 4.77e-05 1.29e-04 |  2.3235e+00  2.3263e+00 4.86e-04 | 1280.7 | 1.0e+00 |
 56600 | 8.42e-05 1.04e-04 |  2.3234e+00  2.3266e+00 5.65e-04 | 1282.9 | 1.7e+00 |
 56700 | 1.29e-04 6.65e-05 |  2.3233e+00  2.3270e+00 6.54e-04 | 1285.0 | 1.7e+00 |
 56800 | 1.23e-04 4.40e-05 |  2.3233e+00  2.3277e+00 7.93e-04 | 1287.2 | 1.0e+00 |
 56900 | 9.34e-05 1.05e-04 |  2.3233e+00  2.3285e+00 9.20e-04 | 1289.4 | 6.0e-01 |
 57000 | 6.03e-05 1.45e-04 |  2.3234e+00  2.3284e+00 8.98e-04 | 1291.6 | 7.7e-01 |
 57100 | 6.32e-05 1.27e-04 |  2.3235e+00  2.3280e+00 7.94e-04 | 1293.7 | 1.3e+00 |
 57200 | 1.16e-04 8.47e-05 |  2.3237e+00  2.3276e+00 6.94e-04 | 1295.9 | 2.1e+00 |
 57300 | 1.22e-04 4.53e-05 |  2.3237e+00  2.3271e+00 6.02e-04 | 1298.1 | 1.3e+00 |
 57400 | 9.58e-05 5.69e-05 |  2.3237e+00  2.3265e+00 4.92e-04 | 1300.2 | 7.7e-01 |
 57500 | 6.82e-05 1.08e-04 |  2.3237e+00  2.3259e+00 3.89e-04 | 1302.4 | 4.6e-01 |
 57600 | 4.82e-05 1.24e-04 |  2.3236e+00  2.3261e+00 4.39e-04 | 1304.6 | 7.7e-01 |
 57700 | 5.66e-05 1.10e-04 |  2.3235e+00  2.3264e+00 5.19e-04 | 1306.7 | 1.3e+00 |
 57800 | 1.06e-04 8.15e-05 |  2.3234e+00  2.3267e+00 5.85e-04 | 1308.9 | 2.1e+00 |
 57900 | 1.19e-04 4.51e-05 |  2.3233e+00  2.3272e+00 6.93e-04 | 1311.1 | 1.3e+00 |
 58000 | 1.00e-04 6.14e-05 |  2.3233e+00  2.3279e+00 8.19e-04 | 1313.2 | 7.7e-01 |
 58100 | 7.12e-05 1.28e-04 |  2.3233e+00  2.3285e+00 9.19e-04 | 1315.4 | 4.6e-01 |
 58200 | 4.74e-05 1.47e-04 |  2.3235e+00  2.3282e+00 8.45e-04 | 1317.6 | 7.7e-01 |
 58300 | 7.10e-05 1.15e-04 |  2.3236e+00  2.3277e+00 7.24e-04 | 1319.8 | 1.3e+00 |
 58400 | 1.24e-04 7.80e-05 |  2.3237e+00  2.3274e+00 6.57e-04 | 1321.9 | 2.1e+00 |
 58500 | 1.25e-04 4.07e-05 |  2.3238e+00  2.3271e+00 5.75e-04 | 1324.1 | 1.3e+00 |
 58600 | 1.00e-04 6.15e-05 |  2.3238e+00  2.3264e+00 4.54e-04 | 1326.3 | 7.7e-01 |
 58700 | 7.09e-05 1.18e-04 |  2.3237e+00  2.3257e+00 3.51e-04 | 1328.4 | 4.6e-01 |
 58800 | 4.88e-05 1.35e-04 |  2.3236e+00  2.3259e+00 4.07e-04 | 1330.6 | 7.7e-01 |
 58900 | 5.91e-05 1.20e-04 |  2.3235e+00  2.3263e+00 5.00e-04 | 1332.8 | 1.3e+00 |
 59000 | 1.15e-04 8.83e-05 |  2.3234e+00  2.3266e+00 5.72e-04 | 1334.9 | 2.1e+00 |
 59100 | 1.31e-04 4.69e-05 |  2.3233e+00  2.3272e+00 6.96e-04 | 1337.1 | 1.3e+00 |
 59200 | 1.10e-04 6.71e-05 |  2.3233e+00  2.3280e+00 8.35e-04 | 1339.3 | 7.7e-01 |
 59300 | 7.78e-05 1.44e-04 |  2.3234e+00  2.3287e+00 9.40e-04 | 1341.4 | 4.6e-01 |
 59400 | 5.02e-05 1.65e-04 |  2.3235e+00  2.3283e+00 8.48e-04 | 1343.6 | 7.7e-01 |
 59500 | 7.66e-05 1.27e-04 |  2.3236e+00  2.3277e+00 7.16e-04 | 1345.8 | 1.3e+00 |
 59600 | 1.37e-04 8.53e-05 |  2.3238e+00  2.3274e+00 6.34e-04 | 1347.9 | 2.1e+00 |
 59700 | 1.37e-04 4.12e-05 |  2.3239e+00  2.3270e+00 5.51e-04 | 1350.1 | 1.3e+00 |
 59800 | 1.10e-04 6.71e-05 |  2.3239e+00  2.3262e+00 4.11e-04 | 1352.3 | 7.7e-01 |
 59900 | 7.62e-05 1.29e-04 |  2.3238e+00  2.3255e+00 3.11e-04 | 1354.4 | 4.6e-01 |
 60000 | 5.16e-05 1.47e-04 |  2.3237e+00  2.3257e+00 3.70e-04 | 1356.6 | 7.7e-01 |
 60100 | 6.24e-05 1.30e-04 |  2.3235e+00  2.3262e+00 4.75e-04 | 1358.8 | 1.3e+00 |
 60200 | 1.22e-04 9.56e-05 |  2.3233e+00  2.3265e+00 5.59e-04 | 1360.9 | 2.1e+00 |
 60300 | 1.40e-04 4.97e-05 |  2.3232e+00  2.3272e+00 6.96e-04 | 1363.1 | 1.3e+00 |
 60400 | 1.19e-04 6.96e-05 |  2.3233e+00  2.3280e+00 8.44e-04 | 1365.3 | 7.7e-01 |
 60500 | 8.34e-05 1.53e-04 |  2.3233e+00  2.3287e+00 9.50e-04 | 1367.4 | 4.6e-01 |
 60600 | 5.28e-05 1.75e-04 |  2.3235e+00  2.3283e+00 8.46e-04 | 1369.6 | 7.7e-01 |
 60700 | 8.78e-05 1.40e-04 |  2.3236e+00  2.3277e+00 7.19e-04 | 1371.8 | 1.3e+00 |
 60800 | 1.52e-04 9.20e-05 |  2.3238e+00  2.3273e+00 6.21e-04 | 1373.9 | 2.1e+00 |
