Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 7900 | 3.07e-11 1.11e-04 |  2.3371e+00  2.3265e+00 1.87e-03 | 202.3 | 4.7e+01 |
 8000 | 3.25e-11 1.00e-04 |  2.3374e+00  2.3255e+00 2.11e-03 | 204.8 | 5.0e+01 |
 8100 | 2.98e-11 9.01e-05 |  2.3377e+00  2.3247e+00 2.31e-03 | 207.4 | 5.2e+01 |
 8200 | 3.10e-11 8.06e-05 |  2.3380e+00  2.3239e+00 2.49e-03 | 209.9 | 5.5e+01 |
 8300 | 3.33e-11 7.16e-05 |  2.3381e+00  2.3233e+00 2.62e-03 | 212.5 | 5.7e+01 |
 8400 | 3.45e-11 6.32e-05 |  2.3382e+00  2.3227e+00 2.73e-03 | 215.1 | 6.0e+01 |
 8500 | 3.69e-11 5.54e-05 |  2.3381e+00  2.3222e+00 2.82e-03 | 217.6 | 6.3e+01 |
 8600 | 3.82e-11 4.84e-05 |  2.3380e+00  2.3216e+00 2.89e-03 | 220.2 | 6.6e+01 |
 8700 | 4.04e-11 4.21e-05 |  2.3377e+00  2.3211e+00 2.93e-03 | 222.8 | 7.0e+01 |
 8800 | 4.20e-11 3.65e-05 |  2.3374e+00  2.3207e+00 2.95e-03 | 225.3 | 7.3e+01 |
 8900 | 4.42e-11 3.15e-05 |  2.3370e+00  2.3203e+00 2.95e-03 | 227.9 | 7.7e+01 |
 9000 | 4.67e-11 2.71e-05 |  2.3367e+00  2.3200e+00 2.94e-03 | 230.4 | 8.1e+01 |
 9100 | 4.87e-11 2.33e-05 |  2.3363e+00  2.3197e+00 2.92e-03 | 233.0 | 8.5e+01 |
 9200 | 5.20e-11 2.00e-05 |  2.3359e+00  2.3195e+00 2.90e-03 | 235.6 | 8.9e+01 |
 9300 | 5.37e-11 1.70e-05 |  2.3355e+00  2.3193e+00 2.87e-03 | 238.1 | 9.3e+01 |
 9400 | 5.69e-11 1.43e-05 |  2.3352e+00  2.3192e+00 2.83e-03 | 240.7 | 9.8e+01 |
 9500 | 5.95e-11 1.18e-05 |  2.3348e+00  2.3190e+00 2.80e-03 | 243.2 | 1.0e+02 |
 9600 | 6.18e-11 9.61e-06 |  2.3346e+00  2.3189e+00 2.76e-03 | 245.8 | 1.1e+02 |
 9700 | 6.61e-11 7.58e-06 |  2.3343e+00  2.3189e+00 2.73e-03 | 248.4 | 1.1e+02 |
 9800 | 6.87e-11 5.82e-06 |  2.3341e+00  2.3188e+00 2.70e-03 | 250.9 | 1.2e+02 |
 9900 | 7.28e-11 4.35e-06 |  2.3339e+00  2.3188e+00 2.67e-03 | 253.5 | 1.3e+02 |
